地名,センター,燃やすごみ,燃やさないごみ,資源,びん
瀬戸谷全地区,,月 木,水2,火1 火3,水4
稲葉,,月 木,水4,火1 火3,水2
瀬古,,月 木,月3,月2 月4,水1
葉梨(時ケ谷除く),,月 木,木4,木1 木3,水2
清里,,月 木,月3,月2 月4,水1
南清里,,月 木,金3,金2 金4,水1
時ケ谷,,月 木,金2,金1 金3,水4
五十海,,月 木,月3,月2 月4,水1
白子,,月 木,木4,木1 木3,水2
下伝馬,,月 木,水2,月1 月3,水4
左車,,月 木,金4,金1 金3,水2
広幡(上当間・下当間除く),,火 金,火2,火1 火3,水4
上当間,,火 金,月4,月1 月3,水2
下当間,,火 金,月4,月1 月3,水2
平島,,火 金,月2,月1 月3,水4
稲川,,火 金,水1,火2 火4,水3
益津下,,火 金,水1,火2 火4,水3
益津,,月 木,水1,火2 火4,水3
岡出山,,火 金,水1,火2 火4,水3
長楽寺２,,火 金,水2,月2 月4,水1
大手,,火 金,水2,月2 月4,水1
郡,,火 金,水3,金2 金4,水1
田中,,火 金,月2,月1 月3,水4
市部,,月 木,水3,木2 木4,水1
藤岡,,火 金,金1,金2 金4,水3
原,,月 木,水1,木1 木3,水4
木町,,月 木,水1,木2 木4,水3
栄,,月 木,水4,火1 火3,水2
小坂,,月 木,月3,月2 月4,水1
上伝馬,,月 木,火3,金1 金3,水4
千歳,,月 木,木3,木2 木4,水1
長楽寺１,,月 木,月1,月2 月4,水3
駿河台,,月 木,木2,木1 木3,水4
南駿河台,,月 木,水1,月2 月4,水3
内瀬戸,,火 金,金3,金2 金4,水1
志太,,月 木,月3,月2 月4,水1
南新屋,,火 金,金4,火1 火3,水2
新南新屋,,火 金,水2,木1 木3,水4
小石川町,,月 木,月3,月2 月4,水1
東町,,月 木,水2,月2 月4,水1
水上,,火 金,木3,木2 木4,水1
芙蓉台,,火 金,火4,火1 火3,水2
緑の丘,,火 金,水4,金1 金3,水2
ひかりが丘,,火 金,水4,火1 火3,水2
一里山,,火 金,水1,火2 火4,水3
三軒屋,,火 金,水3,金2 金4,水1
光洋台,,火 金,水4,木1 木3,水2
瀬戸,,火 金,金1,金2 金4,水3
前島,,月 木,木1,木2 木4,水3
田沼,,月 木,月4,月1 月3,水2
高柳,,火 金,水2,金1 金3,水4
青葉町,,火 金,火1,火2 火4,水3
青南町,,火 金,水3,金2 金4,水1
追分,,火 金,水3,火2 火4,水1
追分西,,火 金,水2,月2 月4,水1
富士見町,,月 木,水1,月2 月4,水3
日の出町,,月 木,金4,金1 金3,水2
駅前,,月 木,木1,木2 木4,水3
喜多町,,月 木,月3,月2 月4,水1
青木,,月 木,木2,木1 木3,水4
瀬戸新屋,,火 金,水4,火1 火3,水2
築地,,月 木,月3,月2 月4,水1
築地上,,月 木,水1,金2 金4,水3
兵太夫北,,月 木,金1,金2 金4,水3
兵太夫中,,月 木,金1,金2 金4,水3
兵太夫南,,月 木,金1,金2 金4,水3
大新島,,火 金,火1,火2 火4,水3
与左衛門,,火 金,水3,火2 火4,水1
大東町,,,金2,金1 金3,水4
泉町,,,月1,月2 月4,水3
善左衛門,,,水1,金2 金4,水3
忠兵衛,,,水2,火1 火3,水4
源助,,,水4,月1 月3,水2
五平,,,水1,火2 火4,水1
青洲団地,,,水3,火2 火4,水1
与左衛門,,火 金,水4,金1 金3,水2
岡部(１・４・５自治会),,火 金,水2,月1 月3,水4
岡部(２・３自治会),,火 金,水2,月1 月3,水4
